ds,unique_id,y
2023-06-01,0501130R0AAAGAG,75503.0
2023-06-01,0212000B0AAADAD,547592.0
2023-06-01,0109040N0BDABAQ,290903.0
2023-06-01,0302000Z0BBAAAA,2935.0
2023-06-01,0103050P0AAAAAA,3337642.0
2023-06-01,0103050L0AAABAB,610263.0
2023-06-01,0601023ANAAABAB,80015.0
2023-06-01,0103050L0AAAAAA,877591.0
2023-06-01,0103010H0AAAAAA,116767.0
2023-06-01,0601012V0BBAEAD,6485.0
2023-06-01,0601023AEAAAAAA,96709.0
2023-06-01,0205051R0AAABAB,627118.0
2023-06-01,0208020Y0AAABAB,82830.0
2023-06-01,0407010H0AABGBG,1793490.0
2023-06-01,0803042W0BBAAAA,646.0
2023-06-01,0302000K0BHAAAM,2021.0
2023-06-01,0208020Z0AAABAB,628680.0
2023-06-01,0301011R0BIAFAP,24391.0
2023-06-01,0206020A0AAABAB,838929.0
2023-06-01,0602010V0AABXBX,782935.0
2023-06-01,0601011A0BBADAC,9423.0
2023-06-01,0601023AWBBACAC,1214.0
2023-06-01,0601023AQBBABAB,3013.0
2023-06-01,0212000B0AAACAC,903128.0
2023-06-01,0403030D0AAAAAA,634196.0
2023-06-01,0403030Q0AAAAAA,777333.0
2023-06-01,0301040Y0BBAAAA,56720.0
2023-06-01,0602010V0AABZBZ,960893.0
2023-06-01,0704020AEAAABAB,93211.0
2023-06-01,0302000C0BQAABX,4975.0
2023-06-01,0602010V0AABWBW,792780.0
2023-06-01,0209000A0AAABAB,1172075.0
2023-06-01,0601012S0BGAFAI,14060.0
2023-06-01,0302000C0BQABBZ,1859.0
2023-06-01,0401010ADAACZCZ,54155.0
2023-06-01,0205052AEAAACAC,26706.0
2023-06-01,0206020A0AAAAAA,1444194.0
2023-06-01,0601023X0AAAAAA,59472.0
2023-06-01,0302000C0BUAABX,7180.0
2023-06-01,0302000AABBACAC,1169.0
2023-06-01,1404000H0AAAFAF,0.0
2023-07-01,0901020G0AAAGAG,703780.0
2023-07-01,0601023AGAAABAB,252803.0
2023-07-01,0407010F0AAAHAH,1276358.0
