unique_id,ds,y_hat,y_hat_lower,y_hat_upper
0208020AAAAABAB,2025-01-01,156072.8723863481,126087.49672960892,186058.2480430873
0208020AAAAABAB,2025-02-01,160135.4554424372,125735.84459522952,194535.0662896449
0208020AAAAABAB,2025-03-01,164198.03849852632,125889.50551169833,202506.57148535433
0208020AAAAACAC,2024-09-01,261468.99787528184,245320.1430577235,277617.85269284016
0208020AAAAACAC,2024-10-01,259365.28274909977,241602.74995965936,277127.8155385402
0208020AAAAACAC,2024-11-01,260893.9833088466,235438.5937517027,286349.3728659905
0208020AAAAACAC,2024-12-01,264283.63004967157,229449.19230872812,299118.067790615
0208020AAAAACAC,2025-01-01,268626.6700660197,224785.2511309582,312468.0890010812
0208020AAAAACAC,2025-02-01,273458.14910712576,221397.61883879238,325518.67937545915
0208020AAAAACAC,2025-03-01,278539.8634782172,219034.01248272837,338045.7144737061
0208020Y0AAABAB,2024-09-01,64799.45119378135,57498.50053261529,72100.40185494741
0208020Y0AAABAB,2024-10-01,65165.17503775571,57782.010995286044,72548.33908022537
0208020Y0AAABAB,2024-11-01,64548.89223541717,56861.15664034993,72236.6278304844
0208020Y0AAABAB,2024-12-01,63740.02420507601,54968.08920769572,72511.95920245632
0208020Y0AAABAB,2025-01-01,62931.15617473485,53195.01686714138,72667.29548232834
0208020Y0AAABAB,2025-02-01,62122.28814439369,51509.18428004429,72735.3920087431
0208020Y0AAABAB,2025-03-01,61313.42011405254,49890.480971517034,72736.35925658804
0208020Y0AAACAC,2024-09-01,258862.77073376847,232704.8923473112,285020.64912022575
0208020Y0AAACAC,2024-10-01,260988.56812973527,234806.77175654174,287170.3645029288
0208020Y0AAACAC,2024-11-01,260519.87453221617,232612.9721925172,288426.77687191515
0208020Y0AAACAC,2024-12-01,258871.3627354994,227852.07782941376,289890.64764158503
0208020Y0AAACAC,2025-01-01,256686.34069972113,222095.31920506235,291277.3621943799
0208020Y0AAACAC,2025-02-01,254257.34612917984,216098.34727730366,292416.34498105606
0208020Y0AAACAC,2025-03-01,251717.40754790942,210153.26276411305,293281.5523317058
0208020Z0AAAAAA,2024-09-01,250488.88187079772,229987.03075502763,270990.7329865678
0208020Z0AAAAAA,2024-10-01,257150.0801678239,236395.5365166427,277904.6238190051
0208020Z0AAAAAA,2024-11-01,258362.74756023433,234669.83096875253,282055.6641517161
0208020Z0AAAAAA,2024-12-01,258362.74756023433,227483.4100546442,289242.0850658245
0208020Z0AAAAAA,2025-01-01,258362.74756023433,221678.79094487755,295046.7041755911
0208020Z0AAAAAA,2025-02-01,258362.74756023433,216674.71737013524,300050.7777503334
0208020Z0AAAAAA,2025-03-01,258362.74756023433,212210.05479693128,304515.4403235374
0208020Z0AAABAB,2024-09-01,689935.6320942068,633265.0046461908,746606.2595422227
0208020Z0AAABAB,2024-10-01,684630.103496857,624112.1833795096,745148.0236142044
0208020Z0AAABAB,2024-11-01,679986.6507702318,616679.6751108957,743293.626429568
0208020Z0AAABAB,2024-12-01,675922.6535965718,610559.726282408,741285.5809107355
0208020Z0AAABAB,2025-01-01,672365.8018313292,605470.7546582934,739260.849004365
0208020Z0AAABAB,2025-02-01,669252.8088986804,601207.4978317712,737298.1199655896
0208020Z0AAABAB,2025-03-01,666528.2857421575,597614.8654736684,735441.7060106465
0209000A0AAABAB,2024-09-01,1135594.6480805147,1101145.3165964996,1170043.9795645298
0209000A0AAABAB,2024-10-01,1136037.9285918854,1092982.3864979998,1179093.470685771
0209000A0AAABAB,2024-11-01,1165139.236761952,1121561.6265914217,1208716.8469324824
0209000A0AAABAB,2024-12-01,1166170.4485340528,1122076.9511523407,1210263.945915765
0209000A0AAABAB,2025-01-01,1153726.8765343584,1109123.4583410474,1198330.2947276693
0209000A0AAABAB,2025-02-01,1071145.151957858,1026037.5770096995,1116252.7269060162
0209000A0AAABAB,2025-03-01,1170394.2027688883,1124788.0439646207,1216000.361573156
0209000C0AAAAAA,2024-09-01,778200.0215564482,758663.5890461778,797736.4540667186
0209000C0AAAAAA,2024-10-01,798937.4502117096,774893.6071545946,822981.2932688246
0209000C0AAAAAA,2024-11-01,804978.6348167574,780886.5314782785,829070.7381552364
0209000C0AAAAAA,2024-12-01,810784.410680972,784420.2072582529,837148.6141036912
0209000C0AAAAAA,2025-01-01,813449.7920634295,786309.9479444737,840589.6361823853
0209000C0AAAAAA,2025-02-01,752044.7542413997,724863.7070835416,779225.8013992578
0209000C0AAAAAA,2025-03-01,820998.7719908982,793200.6702556884,848796.873726108
0212000B0AAABAB,2024-09-01,2753748.6258150386,2654940.886968547,2852556.36466153
0212000B0AAABAB,2024-10-01,2838180.7764411108,2738608.266354183,2937753.2865280383
0212000B0AAABAB,2024-11-01,2854677.8027726095,2752324.154330395,2957031.451214824
0212000B0AAABAB,2024-12-01,2907235.428886852,2783208.924163818,3031261.9336098866
0212000B0AAABAB,2025-01-01,2963326.957739566,2837352.791830313,3089301.123648819
0212000B0AAABAB,2025-02-01,2793298.77910125,2662845.649621184,2923751.9085813165
0212000B0AAABAB,2025-03-01,3052853.1880902024,2911366.521843528,3194339.854336877
0212000B0AAACAC,2024-09-01,978722.4528993795,949817.949607872,1007626.956190887
0212000B0AAACAC,2024-10-01,1006799.2498840631,977864.4640016765,1035734.0357664498
0212000B0AAACAC,2024-11-01,1007979.2485368395,979044.3393947999,1036914.1576788791
0212000B0AAACAC,2024-12-01,1014534.5404512961,979979.9139064699,1049089.1669961223
0212000B0AAACAC,2025-01-01,1025997.4305935757,991020.9895380024,1060973.871649149
0212000B0AAACAC,2025-02-01,967875.3149206011,932842.9455581626,1002907.6842830395
0212000B0AAACAC,2025-03-01,1046573.9188317367,1009173.1317009319,1083974.7059625415
0212000B0AAADAD,2024-09-01,648982.5278339839,603288.6579543174,694676.3977136504
0212000B0AAADAD,2024-10-01,655127.9371951282,608303.5845416557,701952.2898486006
0212000B0AAADAD,2024-11-01,661273.3465562726,613345.1684326092,709201.524679936
0212000B0AAADAD,2024-12-01,667418.7559174169,618411.6083255557,716425.9035092781
0212000B0AAADAD,2025-01-01,673564.1652785612,623501.2970833876,723627.0334737347
0212000B0AAADAD,2025-02-01,679709.5746397055,628612.7936377267,730806.3556416843
0212000B0AAADAD,2025-03-01,685854.9840008498,633744.7999136577,737965.1680880418
0301011R0BIAFAP,2024-09-01,21382.62665386848,18545.095952946333,24220.157354790626
0301011R0BIAFAP,2024-10-01,20845.995069459917,17329.306938917456,24362.68320000238
0301011R0BIAFAP,2024-11-01,20309.363485051355,15998.585578485445,24620.141391617268
0301011R0BIAFAP,2024-12-01,19772.731900642793,14572.307833930945,24973.155967354644
0301011R0BIAFAP,2025-01-01,19236.10031623423,13063.774491438548,25408.426141029915
0301011R0BIAFAP,2025-02-01,18699.46873182567,11482.260771721361,25916.676691929977
0301011R0BIAFAP,2025-03-01,18162.837147417107,9834.478235378074,26491.19605945614
0301020Q0BBACAC,2024-09-01,2129.0462081440896,1971.5278609488366,2286.564555339343
0301020Q0BBACAC,2024-10-01,2321.19953166128,2163.6811844659155,2478.717878856645
0301020Q0BBACAC,2024-11-01,2374.383600180571,2216.865252985095,2531.9019473760472
0301020Q0BBACAC,2024-12-01,2328.762492880988,2171.2441456854003,2486.2808400765753
0301020Q0BBACAC,2025-01-01,2286.0813290933725,2128.5629818976736,2443.5996762890713
0301020Q0BBACAC,2025-02-01,2057.375110327458,1899.8567631316478,2214.8934575232684
0301020Q0BBACAC,2025-03-01,2298.6389933354135,2141.120646139492,2456.157340531335
0301020Q0BCAAAD,2024-09-01,36361.66544204223,29033.696293794877,43689.63459028958
0301020Q0BCAAAD,2024-10-01,34820.4077468023,27314.204496533577,42326.610997071024
0301020Q0BCAAAD,2024-11-01,32953.72957262426,23780.475477160213,42126.9836680883
0301020Q0BCAAAD,2024-12-01,31087.051398446216,20506.215223287327,41667.887573605105
0301020Q0BCAAAD,2025-01-01,29220.373224268173,17398.376877155126,41042.36957138122
0301020Q0BCAAAD,2025-02-01,27353.69505009013,14409.001114088504,40298.388986091755
0301020Q0BCAAAD,2025-03-01,25487.0168759121,11509.513359104802,39464.5203927194
0301040Y0BBAAAA,2024-09-01,47714.81876275198,43503.24442204608,51926.39310345788
0301040Y0BBAAAA,2024-10-01,48242.02962962727,43664.24428186283,52819.81497739171
0301040Y0BBAAAA,2024-11-01,47923.74196430325,43257.071395039624,52590.41253356687
0301040Y0BBAAAA,2024-12-01,47605.45429897922,42851.56013588979,52359.34846206864
0301040Y0BBAAAA,2025-01-01,47287.166633655186,42447.620660562236,52126.71260674814
0301040Y0BBAAAA,2025-02-01,46968.878968331155,42045.170941091455,51892.586995570855
0301040Y0BBAAAA,2025-03-01,46650.591303007124,41644.13584536754,51657.04676064671
0302000AABBAAAA,2024-09-01,4958.742893625969,4753.384672610398,5164.10111464154
0302000AABBAAAA,2024-10-01,5168.762557034268,4959.5463643832,5377.978749685336
0302000AABBAAAA,2024-11-01,5212.578897053608,4997.852970819727,5427.304823287489
0302000AABBAAAA,2024-12-01,5334.17343292538,5076.669057575384,5591.677808275377
0302000AABBAAAA,2025-01-01,5355.467783722949,5090.71428558833,5620.221281857568
0302000AABBAAAA,2025-02-01,5055.865498959072,4782.162368521044,5329.5686293971
0302000AABBAAAA,2025-03-01,5449.030536884618,5153.27641322244,5744.784660546797
0302000AABBACAC,2024-09-01,1815.6105558804816,1691.5667259502147,1939.6543858107484
0302000AABBACAC,2024-10-01,1853.1562115272868,1713.6281185283906,1992.684304526183
0302000AABBACAC,2024-11-01,1910.13275241177,1742.4174932123808,2077.8480116111596
0302000AABBACAC,2024-12-01,1957.6856007644433,1772.3337560353727,2143.0374454935136
0302000AABBACAC,2025-01-01,2009.8088008971727,1805.572745223399,2214.044856570946
0302000AABBACAC,2025-02-01,2059.71544787699,1839.4666080411555,2279.9642877128244
0302000AABBACAC,2025-03-01,2110.6970904186637,1874.9525236243744,2346.441657212953
0302000C0BQAABX,2024-09-01,4633.5524033167085,3555.2168390364177,5711.887967596999
0302000C0BQAABX,2024-10-01,4615.396549143845,3466.133643609236,5764.659454678454
0302000C0BQAABX,2024-11-01,4599.225929212349,3255.27686615704,5943.174992267658
0302000C0BQAABX,2024-12-01,4584.823470012179,2931.3672213762725,6238.279718648086
0302000C0BQAABX,2025-01-01,4571.995833725427,2528.6744667453017,6615.317200705551
0302000C0BQAABX,2025-02-01,4560.570822870108,2076.8979884642868,7044.243657275929
0302000C0BQAABX,2025-03-01,4550.395068730669,1595.8762775127334,7504.913859948604
0302000C0BQABBZ,2024-09-01,1635.1183668923202,1354.8098530241223,1915.426880760518
0302000C0BQABBZ,2024-10-01,1600.50630689542,1281.0710648612258,1919.9415489296143
0302000C0BQABBZ,2024-11-01,1589.8314606554586,1131.7616338440434,2047.9012874668738
0302000C0BQABBZ,2024-12-01,1589.8314606554586,960.9340700559819,2218.7288512549353
0302000C0BQABBZ,2025-01-01,1589.8314606554586,827.4694144001237,2352.1935069107935
0302000C0BQABBZ,2025-02-01,1589.8314606554586,714.1146963769551,2465.548224933962
0302000C0BQABBZ,2025-03-01,1589.8314606554586,613.8377040636437,2565.8252172472735
0302000C0BRAABY,2024-09-01,6725.204077839051,6262.189649841106,7188.218505836996
0302000C0BRAABY,2024-10-01,6783.633900453431,6299.524178133054,7267.743622773808
0302000C0BRAABY,2024-11-01,6902.6656871119785,6342.717624149608,7462.613750074349
